epoch,correlation_coefficient,fraction_of_explained_variance,loss,root_mean_squared_error
0,0.14404946565628052,0.010254652239382267,1.000754714012146,0.3497330844402313
1,0.7849752902984619,0.5952680110931396,0.965285062789917,0.22209268808364868
2,0.8458536267280579,0.6934080719947815,0.9583039283752441,0.19454218447208405
3,0.8654829263687134,0.7328839898109436,0.955440104007721,0.1816401481628418
4,0.8769630193710327,0.7473949193954468,0.9542765617370605,0.176470085978508
5,0.8854442834854126,0.7537182569503784,0.9537535905838013,0.17416109144687653
6,0.8910831809043884,0.7763085961341858,0.9521988034248352,0.1660469025373459
7,0.8960492014884949,0.7783805131912231,0.9519731402397156,0.1651243269443512
8,0.9003355503082275,0.7879235148429871,0.9512830376625061,0.16157715022563934
9,0.903104841709137,0.7863560318946838,0.9513060450553894,0.1618136167526245
10,0.9055966734886169,0.7943524122238159,0.9507443308830261,0.1589733064174652
11,0.9076449275016785,0.7941301465034485,0.9506930112838745,0.1589014083147049
12,0.9096567034721375,0.8017648458480835,0.950187087059021,0.1559312343597412
13,0.9115222692489624,0.798117995262146,0.9503772258758545,0.15734505653381348
14,0.912980854511261,0.8108909130096436,0.9495229721069336,0.1525382101535797
15,0.9141485691070557,0.8064661622047424,0.9497822523117065,0.1539541333913803
16,0.9152601957321167,0.8058908581733704,0.9497727155685425,0.15406644344329834
17,0.9164682030677795,0.8144784569740295,0.9492096900939941,0.1508292704820633
18,0.9174474477767944,0.8123283982276917,0.9493147730827332,0.1517178863286972
19,0.9180620312690735,0.8050317168235779,0.9497702717781067,0.15443092584609985
20,0.919076681137085,0.8187394738197327,0.948905348777771,0.14909520745277405
21,0.9193015694618225,0.8141549229621887,0.9491410851478577,0.15053771436214447
22,0.9204149842262268,0.8125244975090027,0.949222207069397,0.15137098729610443
23,0.9210489392280579,0.8240193724632263,0.9485113620758057,0.1468842625617981
24,0.9210118651390076,0.813866376876831,0.9491024017333984,0.15048538148403168
25,0.9220004677772522,0.81694495677948,0.9489197134971619,0.1496405452489853
26,0.9225298166275024,0.8137439489364624,0.9490810036659241,0.15075716376304626
27,0.9227674603462219,0.8176869750022888,0.9488354325294495,0.1491563469171524
28,0.9231521487236023,0.8314297199249268,0.9479833245277405,0.14399631321430206
29,0.9237942099571228,0.8174269199371338,0.9488139748573303,0.14909395575523376
30,0.9237316250801086,0.8195363879203796,0.9486659169197083,0.1483474224805832
31,0.9244338870048523,0.8198752999305725,0.9486224055290222,0.14842088520526886
32,0.9243268370628357,0.8156023025512695,0.9489062428474426,0.14980636537075043
33,0.9248760342597961,0.8270553946495056,0.948212742805481,0.14546923339366913
34,0.9251132607460022,0.815342128276825,0.9488797187805176,0.14995990693569183
35,0.9252898097038269,0.8230640292167664,0.9484156370162964,0.14711645245552063
36,0.9255839586257935,0.8264588713645935,0.9482059478759766,0.1457073986530304
37,0.926039457321167,0.814610481262207,0.9489284157752991,0.15015971660614014
38,0.9260283708572388,0.8276306986808777,0.9481030702590942,0.14498986303806305
39,0.9265043139457703,0.8217096328735352,0.948449969291687,0.1472114622592926
40,0.9266404509544373,0.8274093866348267,0.9480947256088257,0.1454131156206131
41,0.9268175363540649,0.8170793652534485,0.9487017393112183,0.14925947785377502
42,0.9268082976341248,0.8232133984565735,0.9483516812324524,0.1469700038433075
43,0.927116870880127,0.8285720944404602,0.9480208158493042,0.14475493133068085
44,0.927406907081604,0.8239790797233582,0.9482885003089905,0.1463460922241211
45,0.9278532862663269,0.828785240650177,0.9479724764823914,0.14445513486862183
46,0.9274358749389648,0.8107189536094666,0.9490888118743896,0.15090900659561157
47,0.9277034997940063,0.8332769870758057,0.9476944804191589,0.14272378385066986
48,0.9280378222465515,0.8233959674835205,0.9483192563056946,0.14648616313934326
49,0.9280956387519836,0.8275802135467529,0.9480383992195129,0.14512883126735687
